"id","Sex","Race","SES","PreK","District_Poverty","Math_0","Math_0.5","Math_1","Math_1.5","Math_2","Math_2.5","Math_3.5","Math_4.5","Math_5.5","Reading_0","Reading_0.5","Reading_1","Reading_1.5","Reading_2","Reading_2.5","Reading_3.5","Reading_4.5","Reading_5.5","Science_0.5","Science_1","Science_1.5","Science_2","Science_2.5","Science_3.5","Science_4.5","Science_5.5","DCCS_0","DCCS_0.5","DCCS_1","DCCS_1.5","DCCS_2","DCCS_2.5","DCCS_3.5","DCCS_4.5","DCCS_5.5","Numbers_Reversed_0","Numbers_Reversed_0.5","Numbers_Reversed_1","Numbers_Reversed_1.5","Numbers_Reversed_2","Numbers_Reversed_2.5","Numbers_Reversed_3.5","Numbers_Reversed_4.5","Numbers_Reversed_5.5","Numbers_Reversed_(W-ability)_0","Numbers_Reversed_(W-ability)_0.5","Numbers_Reversed_(W-ability)_1","Numbers_Reversed_(W-ability)_1.5","Numbers_Reversed_(W-ability)_2","Numbers_Reversed_(W-ability)_2.5","Numbers_Reversed_(W-ability)_3.5","Numbers_Reversed_(W-ability)_4.5","Numbers_Reversed_(W-ability)_5.5"
"10007964","Female","Hispanic",-1.18,"non-relative",15,17.7756,36.4863,51.3696,60.5524,77.4692,69.8705,85.2734,103.5228,120.2414,41.467,58.7425,63.278,88.8067,99.2421,122.3648,129.4256,135.9759,148.9611,33.8834,29.0241,43.5536,39.6309,46.1533,55.5173,62.0939,74.4952,15,15,18,18,6.3713,6.1357,7.33,8.454,7.5292,80,85,100,96,96,88,91,92,92,403,426,470,470,476,470,483,489,496
"10007986","Female","Hispanic",-0.257,"center",38,37.9968,39.1292,52.7065,72.0321,75.7198,95.3768,116.6037,122.5099,130.0703,52.8365,60.4684,69.729,96.0695,99.2225,115.1322,118.6685,124.2636,138.5585,34.2513,36.2555,35.1894,50.2375,66.0221,51.1247,74.6528,82.9699,17,14,15,10,4,7.663,7.5727,7.8795,8.1098,106,115,109,124,125,104,114,103,98,448,476,476,502,509,489,509,502,502
"10008018","Female","White",1.956,"center",NA,35.6885,43.8407,NA,NA,NA,NA,NA,NA,NA,56.613,66.1004,NA,NA,NA,NA,NA,NA,NA,37.4556,NA,NA,NA,NA,NA,NA,NA,15,17,NA,NA,NA,NA,NA,NA,NA,111,104,NA,NA,NA,NA,NA,NA,NA,462,462,NA,NA,NA,NA,NA,NA,NA
"10008021","Female","White",NA,NA,23,33.3948,53.9243,NA,NA,NA,NA,NA,NA,NA,44.1478,71.5417,NA,NA,NA,NA,NA,NA,NA,35.3001,NA,NA,NA,NA,NA,NA,NA,15,13,NA,NA,NA,NA,NA,NA,NA,98,107,NA,NA,NA,NA,NA,NA,NA,448,476,NA,NA,NA,NA,NA,NA,NA
"10008088","Female","Black",NA,NA,31,33.6946,41.5365,NA,59.1348,NA,72.3387,NA,NA,NA,52.1654,58.787,NA,85.1879,NA,114.7446,NA,NA,NA,34.2412,NA,32.4453,NA,46.1126,NA,NA,NA,7,9,NA,10,NA,6.0209,NA,NA,NA,79,85,NA,100,NA,113,NA,NA,NA,403,426,NA,476,NA,502,NA,NA,NA
"10008094","Male","other",-0.748,"center",15,28.0185,40.3146,47.8634,67.6281,78.479,71.0656,101.3194,92.4113,117.026,47.0137,61.1047,67.6969,68.8764,86.8642,94.9232,113.7874,125.9218,136.9499,33.5531,39.7671,48.6798,43.4461,52.3565,58.7895,61.182,71.1558,16,15,15,15,6.5446,7.1956,7.5173,8.0426,9.5927,112,105,117,102,119,99,108,97,88,462,462,489,476,502,483,502,496,489
"10008170","Female","Hispanic",NA,NA,6,22.1402,53.3835,NA,NA,NA,NA,NA,NA,NA,41.9559,67.7194,NA,NA,NA,NA,NA,NA,NA,29.4875,NA,NA,NA,NA,NA,NA,NA,13,16,NA,NA,NA,NA,NA,NA,NA,75,88,NA,NA,NA,NA,NA,NA,NA,403,448,NA,NA,NA,NA,NA,NA,NA
"10008207","Male","White",0.2602,"non-relative",NA,33.2799,49.3985,NA,64.2105,NA,80.9042,86.8257,101.3017,108.8908,51.7032,72.6036,NA,65.7748,NA,113.547,110.982,122.4885,130.7365,38.8939,NA,40.4025,NA,41.8508,52.5036,64.0707,68.0066,17,16,NA,15,NA,6.5058,5.3365,6.8392,7.0602,100,88,NA,84,NA,93,77,92,97,448,435,NA,448,NA,476,462,489,502
"10008354","Male","White",-0.268,"center",27,35.4133,46.9573,NA,73.2687,NA,84.0481,82.2051,NA,NA,62.6418,69.1691,NA,94.1191999999999,NA,104.8121,116.2013,NA,NA,37.6437,NA,50.0141,NA,38.9893,52.5969,NA,NA,17,17,NA,14,NA,5.702,NA,NA,NA,99,99,NA,81,NA,107,91,NA,NA,448,462,NA,448,NA,496,483,NA,NA
"10008357","Male","Hispanic",-1.31,"none",23,24.8153,47.3553,NA,90.7825,NA,101.5878,117.6822,126.4594,132.1473,41.7173,74.3938,NA,95.9615,NA,112.8617,113.0749,122.459,131.363,24.6483,NA,36.4379,NA,50.8016,63.3014,67.5169,76.7024,15,15,NA,17,NA,6.5964,NA,7.5362,7.767,72,80,NA,91,NA,98,88,79,79,403,435,NA,470,NA,489,483,476,483
"10008385","Male","Asian",0.858,NA,8,NA,55.5864,NA,86.9503,NA,113.8908,NA,NA,NA,NA,77.4508,NA,103.5704,NA,119.8938,NA,NA,NA,35.8334,NA,39.2888,NA,47.3003,NA,NA,NA,NA,18,NA,16,NA,4,NA,NA,NA,NA,99,NA,125,NA,106,NA,NA,NA,NA,448,NA,502,NA,489,NA,NA,NA
"10008409","Female","White",-0.344,"center",23,53.1833,62.7659,NA,85.8137,NA,NA,NA,NA,NA,57.0283,85.2313,NA,122.9907,NA,NA,NA,NA,NA,43.6141,NA,55.5702,NA,NA,NA,NA,NA,18,18,NA,17,NA,NA,NA,NA,NA,116,115,NA,117,NA,NA,NA,NA,NA,483,489,NA,502,NA,NA,NA,NA,NA
"10008520","Male","White",0.0076,"center",5,30.6678,38.9901,NA,64.8703,NA,84.9235,NA,NA,NA,55.4363,63.1927,NA,89.7408,NA,106.4939,NA,NA,NA,22.5817,NA,32.943,NA,35.8085,NA,NA,NA,15,6,NA,15,NA,6.9054,NA,NA,NA,89,113,NA,106,NA,103,NA,NA,NA,419,476,NA,483,NA,489,NA,NA,NA
"10008551","Male","other",-0.089,"none",45,34.5549,54.0734,61.6369,71.9169,87.9397,100.4312,123.8548,129.7406,136.0041,44.1543,57.6987,72.1673,99.0023,107.8357,125.2656,127.3669,130.1337,140.7046,26.6558,29.5247,36.1882,43.0872,56.0412,60.2041,69.9127,74.7955,15,14,15,14,7.3546,6.9212,8.3294,8.24429999999999,8.3045,101,99,73,103,124,109,118,129,112,435,448,410,476,509,496,516,539,522
"10008559","Female","Hispanic",-0.64,"relative",24,NA,48.5806,63.4717,69.8206,84.25,77.1776,113.2677,113.4658,107.6924,NA,69.4631,75.843,97.3635,109.6443,119.5752,122.6061,129.0533,131.355,27.8844,28.2876,35.585,45.7619,52.9415,56.7076,62.3494,57.3694,NA,15,18,18,6.9717,7.5702,7.5182,8.109,8.20889999999999,NA,84,91,107,108,90,98,97,93,NA,419,448,483,489,470,489,496,496
"10008628","Female","White",1.413,"center",21,47.5352,53.6076,NA,69.0079,NA,106.7429,123.0385,121.1508,133.9755,67.4069,72.7659,NA,102.8507,NA,122.7518,132.5539,136.9282,145.2905,39.4263,NA,52.0736,NA,67.6441,70.7867,73.2836,85.9084,15,18,NA,16,NA,6.8718,6.343,6.5677,7.9006,93,95,NA,105,NA,109,104,117,109,448,462,NA,489,NA,502,502,528,522
